NOME;NUM;LAT;LON;SEQ;GRUPO;SENTIDO;TIPO;ITINERARY_ID;CODE
Av. Prefeito Omar Sabag. 750 - Jardim Botanico;140550;-25.441326311136;-49.249190719074;11;;Santa Bárbara;Novo mobiliário;1735;461
Rua Pedro Demeterco. 683 - Jardim das Américas;140567;-25.459927840952;-49.228744239754;23;;Santa Bárbara;Sem demarcação;1735;461
Rua José de Melo Braga Júnior. 624- Jardim das Américas;140574;-25.466968813164;-49.224718244022;27;;Santa Bárbara;Sem demarcação;1735;461
Rua Santinor Pinto da Rocha. 2-106 - Alto Boqueirão;160130;-25.542409749166;-49.244442798777;24;;Sta Inês;Chapéu chinês;742;531
Rua Maestro Carlos Frank. 1548 - Boqueirão;150026;-25.519358276447;-49.233795860119;2;;Sta Inês;Novo mobiliário;742;531
Rua Artur Ângelo Pelanda. 1 - Alto Boqueirão;160131;-25.544133699522;-49.244852798777;2;;Terminal Boqueirão;Chapéu chinês;743;531
Rua Expedicionario Francisco Alves de Oliveira. 595 - Alto Boqueirão;160137;-25.536999747801;-49.247879038029;8;;Terminal Boqueirão;Chapéu chinês;743;531
Rua Francisco Derosso. 1830 - Alto Boqueirão;150102;-25.528195796464;-49.249836938658;9;;Sta Inês;Novo mobiliário;742;531
Rua Maestro Carlos Frank. 2260 - Boqueirão;150029;-25.52172;-49.23905;20;;Terminal Boqueirão;Novo mobiliário;743;531
Rua Maestro Carlos Frank. 1547 - Boqueirão;150025;-25.519356748305;-49.233373061342;22;;Terminal Boqueirão;Novo mobiliário;743;531
Terminal Boqueirão - 531 - Santa Inês;104318;-25.516667744765;-49.230904139881;23;14489;Terminal Boqueirão;Plataforma;743;531
Rua Eduardo Pinto da Rocha. 54  - Alto Boqueirão;160203;-25.53176085025;-49.244026419418;12;;Terminal Boqueirão;Domus;743;531
Rua Antônio Zak. 90 - Alto Boqueirão;160479;-25.5355;-49.24415;15;;Sta Inês;Sem demarcação;742;531
Terminal Boqueirão - 531 - Santa Inês;104318;-25.516667744765;-49.230904139881;1;14489;Sta Inês;Plataforma;742;531
Rua Francisco Derosso. 1435 - Alto Boqueirão;160002;-25.529877898401;-49.247130233135;14;;Terminal Boqueirão;Novo mobiliário;743;531
Rua Hilda Amaral Visinoni. 86 - Alto Boqueirão;160474;-25.542542238218;-49.246046209822;20;;Sta Inês;Placa em poste;742;531
Rua Expedicionario Francisco Alves de Oliveira. 926 - Alto Boqueirão;160475;-25.54056089047;-49.246590845404;19;;Sta Inês;Placa em poste;742;531
Rua Expedicionario Francisco Alves de Oliveira. 768 - Alto Boqueirão;160476;-25.53869;-49.24743;18;;Sta Inês;Placa em poste;742;531
Rua Maestro Carlos Frank. 1806 - Boqueirão;150028;-25.520433241239;-49.236332332507;3;;Sta Inês;Novo mobiliário;742;531
Rua Hilda Amaral Visinoni. 395 - Alto Boqueirão;160132;-25.545526439934;-49.245272069941;3;;Terminal Boqueirão;Chapéu chinês;743;531
Rua Expedicionario Francisco Alves de Oliveira. 925 - Alto Boqueirão;160135;-25.54056;-49.24648;6;;Terminal Boqueirão;Domus;743;531
Rua Antônio Zak. 375 - Alto Boqueirão;160138;-25.53618;-49.24629;9;;Terminal Boqueirão;Domus;743;531
Rua Antônio Zak. 89 - Alto Boqueirão;160139;-25.535576688874;-49.244094373016;10;;Terminal Boqueirão;Domus;743;531
Rua Hilda Amaral Visinoni. 396 - Alto Boqueirão;160472;-25.545590180102;-49.24536364418;22;;Sta Inês;Placa em poste;742;531
Rua Francisco Derosso. 1430 - Alto Boqueirão;160001;-25.5302;-49.24684;11;;Sta Inês;Novo mobiliário;742;531
Rua Maestro Carlos Frank. 3002 - Boqueirão;150122;-25.52434305698;-49.246039883432;6;;Sta Inês;Novo mobiliário;742;531
Rua Maestro Carlos Frank. 3214 - Boqueirão;150124;-25.524761591547;-49.24845317791;7;;Sta Inês;Novo mobiliário;742;531
Rua Eduardo Pinto da Rocha. 307 - Alto Boqueirão;160741;-25.534033473441;-49.24328612973;14;;Sta Inês;Sem demarcação;742;531
Rua Francisco Derosso. 1831 - Alto Boqueirão;150103;-25.527795032863;-49.249995480986;16;;Terminal Boqueirão;Novo mobiliário;743;531
Rua Francisco Derosso. 1180 - Alto Boqueirão;160003;-25.53098;-49.24467;12;;Sta Inês;Placa em poste;742;531
Rua Maestro Carlos Frank. 2507 - Boqueirão;150120;-25.52276;-49.24171;19;;Terminal Boqueirão;Novo mobiliário;743;531
Rua Maestro Carlos Frank. 2774 - Boqueirão;150123;-25.524780699658;-49.246744023314;18;;Terminal Boqueirão;Novo mobiliário;743;531
Rua Maestro Carlos Frank. 3345 - Boqueirão;150125;-25.525453757136;-49.250149650297;17;;Terminal Boqueirão;Novo mobiliário;743;531
Rua Hilda Amaral Visinoni. 229 - Alto Boqueirão;160473;-25.543777371969;-49.246294985285;21;;Sta Inês;Sem demarcação;742;531
Rua Francisco Derosso. 1620 - Alto Boqueirão;150104;-25.528980637297;-49.248502944775;10;;Sta Inês;Novo mobiliário;742;531
Rua Maestro Carlos Frank. 2261 - Boqueirão;150030;-25.521696749343;-49.239431457672;4;;Sta Inês;Novo mobiliário;742;531
Rua Maestro Carlos Frank. 3452 -Boqueirão;150126;-25.525647897974;-49.250570758266;8;;Sta Inês;Novo mobiliário;742;531
Rua Eduardo Pinto da Rocha. 53 - Alto Boqueirão;160202;-25.53178989363;-49.244141754406;13;;Sta Inês;Chapéu chinês;742;531
Rua Hilda Amaral Visinoni. 87 - Alto Boqueirão;160134;-25.542528858909;-49.245945976686;5;;Terminal Boqueirão;Chapéu chinês;743;531
Rua Expedicionario Francisco Alves de Oliveira. 767 - Alto Boqueirão;160136;-25.53871;-49.24732;7;;Terminal Boqueirão;Domus;743;531
Rua Francisco Derosso. 1183 - Alto Boqueirão;160004;-25.530788028577;-49.244726209822;13;;Terminal Boqueirão;Novo mobiliário;743;531
Rua Eduardo Pinto da Rocha. 306 - Alto Boqueirão;160740;-25.534009271077;-49.243188229101;11;;Terminal Boqueirão;Domus;743;531
Rua Expedicionario Francisco Alves de Oliveira. 596 - Alto Boqueirão;160477;-25.537000890793;-49.24797475215;17;;Sta Inês;Placa em poste;742;531
Rua Antônio Zak. 376 - Alto Boqueirão;160478;-25.536100386026;-49.246413906746;16;;Sta Inês;Placa em cano;742;531
Rua Artur Ângelo Pelanda. 2 - Alto Boqueirão;160045;-25.544147009699;-49.244632857637;23;;Sta Inês;Sem demarcação;742;531
Rua Maestro Carlos Frank. 2630 -Boqueirão;150121;-25.52312553975;-49.242943760748;5;;Sta Inês;Novo mobiliário;742;531
Rua Santinor Pinto da Rocha. 2-106 - Alto Boqueirão;160130;-25.542409749166;-49.244442798777;1;;Terminal Boqueirão;Chapéu chinês;743;531
Rua Hilda Amaral Visinoni. 228 - Alto Boqueirão;160133;-25.54379;-49.24617;4;;Terminal Boqueirão;Domus;743;531
Rua Francisco Derosso. 1621 - Alto Boqueirão;150105;-25.528701593137;-49.248695976686;15;;Terminal Boqueirão;Novo mobiliário;743;531
Rua Maestro Carlos Frank. 1806 - Boqueirão;150027;-25.52038;-49.23582;21;;Terminal Boqueirão;Novo mobiliário;743;531
Alameda Dr. Carlos de Carvalho. 158 - Centro;110106;-25.4316605189;-49.276690066999;4;;Savóia;Novo mobiliário;1023;876
Rua Antônio Escorsin. 1770 - Santa Felicidade;190049;-25.418119745487;-49.346857813492;33;;Savóia;Novo mobiliário;1023;876
Alameda Augusto Stelfeld. 1018 - Centro;110108;-25.430859946765;-49.28164410705;6;;Savóia;Novo mobiliário;1023;876
Rua Brasílio Cuman. 11 - São Braz;190770;-25.411375700116;-49.350319386668;36;;Savóia;Placa em cano;1023;876
Avenida Cândido Hartmann. 1106 - Mercês;190178;-25.427784844752;-49.29681682209;13;;Savóia;Chapéu chinês;1023;876
Alameda Dr. Carlos de Carvalho. 32 - Centro;110105;-25.431296247767;-49.275700669975;3;;Savóia;Novo mobiliário;1023;876
Av. Cândido Hartmann. 4691 - Santa Felicidade;190938;-25.417114953098;-49.325403006024;25;;Savóia;Novo mobiliário;1023;876
Rua Antônio Escorsin. 1771 - Santa Felicidade;190050;-25.418373633848;-49.347000116567;8;;Praça Tiradentes;Novo mobiliário;1024;876
Rua Antônio Escorsin. 1001 - Santa Felicidade;190341;-25.414694761108;-49.339888275808;11;;Praça Tiradentes;Novo mobiliário;1024;876
Alameda Princesa Isabel. 877 - São Francisco;180750;-25.431426715741;-49.286468059963;32;;Praça Tiradentes;Novo mobiliário;1024;876
Av. Cândido Hartmann. 2235 - Mercês;190187;-25.423123352838;-49.30586682209;23;;Praça Tiradentes;Novo mobiliário;1024;876
Av. Cândido Hartmann. 3747- Mercês;190026;-25.421719718782;-49.321552682209;23;;Savóia;Novo mobiliário;1023;876
Av. Vereador Toaldo Túlio. 3033 - São Braz;190079;-25.416592826051;-49.34976685161;34;;Savóia;Novo mobiliário;1023;876
Av. Cândido Hartmann. 1420 - Mercês;190179;-25.426404254378;-49.299213790178;14;;Savóia;Novo mobiliário;1023;876
Av. Cândido Hartmann. 4354 - Santa Felicidade;190940;-25.419985611575;-49.324080676979;24;;Savóia;Novo mobiliário;1023;876
Praça Tiradentes - 876 - Savóia;101004;-25.430119444658;-49.272456604299;39;;Praça Tiradentes;Novo mobiliário;1024;876
R. Cruz Machado. 550 - Centro;110103;-25.43135530897;-49.277789772696;36;;Praça Tiradentes;Novo mobiliário;1024;876
Rua Desembargador Motta. 1748 - Água Verde;180716;-25.432412588888;-49.284566373772;33;;Praça Tiradentes;Novo mobiliário;1024;876
Rua Brasílio Cuman. 330 - São Braz;190256;-25.410054106972;-49.352825910992;4;;Praça Tiradentes;Chapéu chinês;1024;876
Av. Cândido Hartmann. 3497 - Mercês;190196;-25.42242;-49.31891;19;;Praça Tiradentes;Novo mobiliário;1024;876
Rua Antônio Escorsin. 2 - Santa Felicidade;190935;-25.414543346081;-49.330657453484;14;;Praça Tiradentes;Novo mobiliário;1024;876
Rua Hermenegildo Luca. 4124 - São Braz;190069;-25.409245409007;-49.36080217424;40;;Savóia;Chapéu chinês;1023;876
Av. Cândido Hartmann. 3236 - Mercês;190193;-25.42250791665;-49.316534023314;21;;Savóia;Novo mobiliário;1023;876
Av. Cândido Hartmann. 3498 - Mercês;190195;-25.422304282835;-49.31924807375;22;;Savóia;Novo mobiliário;1023;876
Rua Antônio Escorsin. 655 - Santa Felicidade;190930;-25.413633640594;-49.337198020167;29;;Savóia;Novo mobiliário;1023;876
Rua Brasílio Cuman. 831- São Braz;190259;-25.408847580331;-49.357621874383;2;;Praça Tiradentes;Chapéu chinês;1024;876
Av. Cândido Hartmann. 1951 - Mercês;190184;-25.423567917108;-49.303157317791;24;;Praça Tiradentes;Chapéu chinês;1024;876
Rua Antônio Escorsin. 1184 - Santa Felicidade;190342;-25.415562062721;-49.34218558783;31;;Savóia;Novo mobiliário;1023;876
Rua Visconde do Rio Branco. 1186 - Centro;110107;-25.432134862259;-49.280061603731;5;;Savóia;Novo mobiliário;1023;876
