NOME,NUM,LAT,LON
R. Cláudio Manoel da Costa. 742 - Bom Retiro,120954,-25.401694178566,-49.282249789359
Rua Carmelina Cavassim. 753 - Barreirinha,120407,-25.369745226812,-49.269347519821
Rua Padre Paulo Caneles. 128 - Santa Candida,120751,-25.356738575685,-49.239471924694
Rua Canal Belém. 1811 - Guabirotuba,140016,-25.474501515376,-49.243272245369
Rua Eugênio Flor. 596 - Taboão,120242,-25.380018600732,-49.279938277248
Rua Monteiro Tourinho. 1611 - Tingui,130487,-25.388140053038,-49.210451836805
Av. Nossa Senhora Aparecida. 778 - Seminário,180584,-25.449168827248,-49.306097806639
Rua Ângelo Gai. 1868 - Umbara,160388,-25.587788826505,-49.296480746216
Rua Cel. Francisco Heráclito dos Santos. 519 - Guabirotuba,140169,-25.45246,-49.22982
Rua Roaldo Brun. 1296 - Atuba,130950,-25.384815860726,-49.205116357823
R. João Bettega. 5125 - Cidade Industrial,180082,-25.504976888437,-49.328405739016
Rua José Antônio Leprevost. 478 - Santa Candida,120376,-25.376409548125,-49.23163277886
Terminal Pinheirinho - 680 - Rurbana,105723,-25.51286112931,-49.294998571758
Rua Mal. Deodoro. 527 - Centro,110003,-25.430286486029,-49.267224682014
Rua José Isidóro Biazeto. 50 - Mossunguê,190138,-25.432279883097,-49.339003148479
Rua Nita Hubel. 281 - Pinheirinho,170258,-25.529320880788,-49.300780326879
Rua Des. Carlos Pinheiro Guimarães. 357 - Sítio Cercado,160117,-25.541802877179,-49.251392011657
Rua Maestro Carlos Frank. 698 - Boqueirão,140296,-25.5163149014,-49.225871224537
R. Brasilino Moura. 605 - Ahú,120052,-25.40126,-49.26492
Rua João Alves. 20 - Cidade Industrial,180155,-25.492325006,-49.333900244183
Rua Tamoios. 1495 - Vila Izabel,180634,-25.46735021262,-49.298107505983
Rua Cel. Luíz José dos Santos. 2701 - Boqueirão,150380,-25.501264235119,-49.25401031971
Rua Prof. Alberto Krause. 86 - Tanguá - Almirante Tamandaré - PR,250055,-25.381796744854,-49.305502356237
Rua João Negrão. 1274 - Centro,110144,-25.439979614001,-49.26194462294
Rua Presidente Carlos Cavalcanti. 1128 - Centro,110431,-25.424883078763,-49.276120439172
Rua Pinheiro Guimarães. 503 - Portão,180611,-25.467691965477,-49.305815199249
Alameda Nsa. Sra. do Sagrado Coração. 471 - Pinheirinho,160321,-25.531962390077,-49.296896488613
Rua Jaime Reis. 342 - São Francisco,110151,-25.426368933248,-49.277005048116
Rua José Maria Pinheiro Lima. 272 - Xaxim,150472,-25.503803443996,-49.276624169312
Estrada Nova de Colombo. 6516 - Santa Candida,130665,-25.36491,-49.22042
Rua Jan Frederik de Jager. 51 - Cidade Industrial,180332,-25.490067581554,-49.356339133478
Rua Heitor S de França. 295 - Centro Cívico,110426,-25.420488362885,-49.26838521947
Rua Ver. Antônio Domakoski. 825 - Bacacheri,130638,-25.399548417446,-49.220910519361
Terminal Cabral - 021 - Interbairros II (Anti-Horário),104405,-25.406451388846,-49.252240822616
Rua Rodolpho Hatschbach. 1284 - Cidade Industrial,170333,-25.53918,-49.32846
Praça Rui Barbosa - 761 - Vila Izabel,102012,-25.435056489364,-49.272818476968
Rua Eugênio Flor. 1508 - Abranches,120268,-25.37301696319,-49.281634719318
Rua José Manoel Voluz 1119 - Sítio Cercado,150595,-25.529840507948,-49.282118444132
Rua Laudelino Ferreira Lopes. 2925 - Novo Mundo,170200,-25.518189452641,-49.304379398699
Travessa Taboão. 396 - Taboão,120294,-25.366344429944,-49.281089859739
Estrada Guilherme Weigert. 2251 - Santa Candida,120444,-25.356528916625,-49.237618518265
Rua João Golin. 21 - Butiatuvinha,190157,-25.393726152445,-49.344518650701
R. Alexandre Von Humboldt. 247 - Pilarzinho,120552,-25.393641091842,-49.286822755826
Rua Albino Blum. 366 - Barreirinha,120918,-25.368825333771,-49.250101552864
Estrada Delegado Bruno de Almeida. 367 - Tatuquara,170508,-25.56250876135,-49.315252869187
R. Campína da Lagoa. 667 - Sítio Cercado,160779,-25.533363457546,-49.253219738603
Rua José Bassa. 1969 - Sítio Cercado,160091,-25.55158,-49.26278
Rua Isaac Ferreira da Cruz. 533 - Xaxim,150130,-25.530332485189,-49.25592524785
Rua Magdalena Chagas Lima. 516 - São Braz,190135,-25.422114253817,-49.346438163195
Rua Antônio Moreira Lopes. 1545 - Cajuru,140386,-25.4796642994,-49.194003433443
R. Raposo Tavares. 1562 - Pilarzinho,190434,-25.389313298522,-49.298278504649
